Player,RunsDescending,D,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI Number
Rahul,32,N,91,73,3,0,43.83,5,caught,2,v Kenya,Cape Town,07-Mar-03,ODI # 1983
Rahul,29,N,45,35,5,0,82.85,3,caught,1,v New Zealand,Nottingham,12-Jun-99,ODI # 1480
Rahul,18,Y,22,12,2,0,150,6,not out,1,v Sri Lanka,Johannesburg,10-Mar-03,ODI # 1985
Rahul,17,N,45,38,0,0,44.73,4,bowled,1,v Netherlands,Paarl,12-Feb-03,ODI # 1948
Rahul,14,N,31,28,0,0,50,5,lbw,1,v Bangladesh,Port of Spain,17-Mar-07,ODI # 2538
Rahul,13,N,23,14,2,0,92.85,3,caught,2,v Zimbabwe,Leicester,19-May-99,ODI # 1450
Rahul,7,Y,5,2,0,1,350,7,not out,1,v Bermuda,Port of Spain,19-Mar-07,ODI # 2542
Rahul,2,N,8,6,0,0,33.33,3,caught,2,v Australia,The Oval,04-Jun-99,ODI # 1473
Rahul,1,Y,3,1,0,0,100,6,not out,1,v Kenya,Durban,20-Mar-03,ODI # 1992
Rahul,1,N,27,23,0,0,4.34,4,bowled,1,v Australia,Centurion,15-Feb-03,ODI # 1951
Rahul,DNB,NA,-,-,-,-,-,-,-,1,v Namibia,Pietermaritzburg,23-Feb-03,ODI # 1964
